Name in English,Countries,ISO639-3 codes,Degree of endangerment,Number of speakers,Latitude,Longitude
Tunebo,"Colombia, Venezuela (Bolivarian Republic of)","tnd, tbn, tuf, tnb",Definitely endangered,7231,6.4463,-72.0483
Quechua of Peruvian Amazonia,Peru,"qln, qlb",Vulnerable,7200,-2.3723,-74.1137
Asur,India,asr,Definitely endangered,7000,22.4719,84.9023
Bashkardi,Iran (Islamic Republic of),bsg,Definitely endangered,7000,28.5169,57.7551
Burji,Kenya,bji,Vulnerable,7000,2.1857,37.9248
Choyi,China,qvy,Definitely endangered,7000,30.8519,99.6659
Gazi,Iran (Islamic Republic of),gzi,Definitely endangered,7000,32.8036,51.6211
Guichong,China,gqi,Vulnerable,7000,30.8148,101.7021
Karagash,Russian Federation,None,Definitely endangered,7000,47.2643,47.2412
Natanzi,Iran (Islamic Republic of),ntz,Severely endangered,7000,33.452,51.3006
Nayini,Iran (Islamic Republic of),nyq,Severely endangered,7000,32.8519,53.1573
Parya,"Uzbekistan, Tajikistan, Afghanistan",paq,Severely endangered,7000,38.5094,68.0932
Segeju,United Republic of Tanzania,seg,Severely endangered,7000,-4.8173,39.0783
Sivandi,Iran (Islamic Republic of),"siy, faz",Definitely endangered,7000,29.9168,51.5945
Soi,Iran (Islamic Republic of),soi,Definitely endangered,7000,31.6533,55.6787
Tucano (Brazil),Brazil,tuo,Vulnerable,7000,0.1757,-67.2363
Wapishana (Guyana),Guyana,wap,Vulnerable,7000,2.3065,-59.6997
Yulu,"Central African Republic, Democratic Republic of the Congo, Sudan",yul,Vulnerable,7000,8.3854,24.1754
Zhaba,China,zhb,Vulnerable,7000,31.4,100.4734
Sakapultek,Guatemala,quv,Definitely endangered,6973,14.9752,-91.0527
Chara,Ethiopia,cra,Vulnerable,6932,6.479,36.3647
Kosraean,"Micronesia (Federated States of), Nauru",kos,Severely endangered,6900,5.322,162.9904
Waunana (Panama),Panama,noa,Severely endangered,6882,8.2984,-78.1018
San Francisco del Mar Huave,Mexico,hue,Critically endangered,6874,16.3333,-94.5166
Northern East Cree,Canada,crl,Vulnerable,6870,53.6916,-78.8011
Micmac (Canada),Canada,mic,Vulnerable,6850,45.9646,-60.6172
Northern Tepehuán,Mexico,tnp,Definitely endangered,6802,26.4258,-107.2683
