Name in English,Countries,ISO639-3 codes,Degree of endangerment,Number of speakers,Latitude,Longitude
Nheengatu / Yeral (Brazil),Brazil,yrl,Severely endangered,6000,-0.4833,-67.0166
Parachi,Afghanistan,prc,Definitely endangered,6000,34.4658,68.637
Quechua of San Martín,Peru,qsa,Severely endangered,6000,-6.5336,-76.4428
Sawkna,Libyan Arab Jamahiriya,swn,Critically endangered,6000,27.252,17.7539
Sulung,"China, India",suv,Definitely endangered,6000,27.839,92.8784
Tindi,Russian Federation,tin,Definitely endangered,6000,42.466,46.1453
Western Apache,United States of America,apw,Definitely endangered,6000,33.2563,-110.4637
Yanomami (Brazil),Brazil,wck,Vulnerable,6000,3.0746,-63.457
Yazgulami,Tajikistan,yah,Severely endangered,6000,38.1982,71.4276
Chantyal,Nepal,chx,Definitely endangered,5912,28.4493,83.4054
Mortlockese,Micronesia (Federated States of),mrl,Definitely endangered,5904,5.5811,153.5668
Baníwa do Içana,"Brazil, Colombia, Venezuela (Bolivarian Republic of)",bwi,Vulnerable,5811,1.2743,-68.291
"Akawaio (Guyana, Venezuela)","Guyana, Venezuela (Bolivarian Republic of)",ake,Definitely endangered,5800,5.3753,-60.5126
Akhvakh,Russian Federation,akv,Definitely endangered,5793,42.472,46.3238
Veps,Russian Federation,vep,Severely endangered,5753,60.3269,34.8046
Qikiqtaaluk nigiani,Canada,ike,Vulnerable,5740,63.7577,-68.5178
Sipakapense,Guatemala,qum,Definitely endangered,5687,15.2121,-91.6335
Bribri (Costa Rica),Costa Rica,bzd,Vulnerable,5647,9.5596,-83.3073
Bainouk-Gunyaamolo,Senegal,bcz,Vulnerable,5635,12.7421,-16.1141
Kwatay,Senegal,cwt,Severely endangered,5625,12.4204,-16.7596
Baheng (Viet Nam),Viet Nam,pha,Vulnerable,5569,22.8166,106.35
Central Zoque,Mexico,None,Definitely endangered,5500,17.0965,-93.2095
Dameli,Pakistan,dml,Severely endangered,5500,35.578,71.8684
Sak (Bangladesh),Bangladesh,ckh,Severely endangered,5500,21.5041,92.2055
Yidgha,Pakistan,ydg,Definitely endangered,5500,36.0024,71.6006
Southeastern Tarahumara,Mexico,tcu,Vulnerable,5406,26.0891,-106.9645
Chimané,Bolivia (Plurinational State of),cas,Vulnerable,5300,-15.2629,-66.8518
Dilling,Sudan,dil,Definitely endangered,5295,12.0178,29.663
San Dionisio del Mar Huave,Mexico,hve,Definitely endangered,5165,16.3166,-94.75
Lafofa,Sudan,laf,Severely endangered,5140,10.3716,30.6243
Akeu,"Lao People's Democratic Republic, Myanmar, Thailand",aeu,Definitely endangered,5000,21.5833,101.0166
Anung (China),China,nun,Critically endangered,5000,26.7368,98.7766
Bagvalal,Russian Federation,kva,Definitely endangered,5000,42.5247,46.192
Bambassi,Ethiopia,myf,Definitely endangered,5000,9.7469,34.7662
Barí,Colombia,mot,Vulnerable,5000,9.0261,-73.2678
Bartangi,Tajikistan,sgh,Severely endangered,5000,38.048,71.8286
Bokar,"China, India",adi,Vulnerable,5000,28.8735,94.3807
Brokpa,Bhutan,sgt,Definitely endangered,5000,27.3766,91.9981
Creek,United States of America,mus,Definitely endangered,5000,35.6319,-95.9616
Cubeo (Colombia),Colombia,cub,Vulnerable,5000,1.5,-70.5
Dagur (Hailar),China,dta,Definitely endangered,5000,48.6111,119.7949
Damal,Indonesia,uhn,Vulnerable,5000,-4.2806,137.0324
Dhaiso,United Republic of Tanzania,dhs,Definitely endangered,5000,-5.0745,38.4741
Gorum,India,pcj,Definitely endangered,5000,18.667,83.0346
Guarayu,Bolivia (Plurinational State of),gyr,Definitely endangered,5000,-15.919,-62.8747
Gutnish,Sweden,swe,Definitely endangered,5000,57.3027,18.5284
Hopi,United States of America,hop,Vulnerable,5000,35.8721,-110.6205
Ilue,Nigeria,ilv,Critically endangered,5000,4.9185,8.2397
Jibbali,Oman,shv,Severely endangered,5000,18.0623,52.4267
Kalasha,Pakistan,kls,Severely endangered,5000,35.6684,71.7201
Kami,United Republic of Tanzania,kcu,Severely endangered,5000,-6.8937,37.1337
Kathu,China,ykt,Definitely endangered,5000,24.136,105.249
Khojki,Oman,luv,Severely endangered,5000,23.6193,58.5653
Khwe,Namibia,xuu,Definitely endangered,5000,-18.271,21.4892
Kom,India,kmm,Definitely endangered,5000,24.0414,93.6639
Korandje,Algeria,kcy,Severely endangered,5000,29.4049,-3.2605
Lachi,Viet Nam,lwh,Definitely endangered,5000,22.5,104.1333
Mak,China,mkg,Definitely endangered,5000,25.5532,107.3809
Manihiki,Cook Islands,rkh,Definitely endangered,5000,-10.4,-161
Megleno-Romanian,"Greece, The former Yugoslav Republic of Macedonia",ruq,Severely endangered,5000,41.1042,22.2025
Miji,India,None,Definitely endangered,5000,27.3351,92.5735
Mo'ang (China),China,None,Definitely endangered,5000,23.8421,103.9116
Mo'ang (Viet Nam),Viet Nam,None,Definitely endangered,5000,22.7833,105.3666
Molise Croatian,Italy,"bos, hrv, srp",Severely endangered,5000,41.8787,14.7065
Moroccan Judeo-Arabic (Morocco),Morocco,aju,Severely endangered,5000,34.0435,-5.0097
Namuyi,China,nmy,Vulnerable,5000,28.0727,101.9565
Padoe,Indonesia,pdo,Vulnerable,5000,-2.6467,121.2615
Patamona (Guyana),Guyana,pbc,Vulnerable,5000,4.5873,-59.8095
Pu,India,caq,Critically endangered,5000,8.2549,93.1022
Pume,Venezuela (Bolivarian Republic of),yae,Definitely endangered,5000,6.7518,-68.247
Singpho,India,sgp,Definitely endangered,5000,27.5569,96.7456
Turi,India,trd,Definitely endangered,5000,21.8411,87.2973
Udi (Azerbaijan),Azerbaijan,udi,Severely endangered,5000,41.0689,47.4609
Yecuana (Venezuela),Venezuela (Bolivarian Republic of),mch,Vulnerable,5000,4.8501,-64.5117
Jirel,Nepal,jul,Definitely endangered,4919,27.6419,86.2123
Dolgan,Russian Federation,dlg,Definitely endangered,4865,71.3851,97.3388
Romani (Colombia),Colombia,None,Vulnerable,4858,0,0
Tsum,Nepal,ttz,Definitely endangered,4786,28.4723,85.008
Northern Tlapanec,Mexico,None,Vulnerable,4771,17.4203,-98.7814
Taroko,China,trv,Vulnerable,4750,24.0916,121.5218
Kivallirmiutut,Canada,ike,Vulnerable,4675,61.0982,-94.1201
Puebla Mazatec,Mexico,None,Vulnerable,4660,18.476,-96.8351
Zapotec of Petapa,Mexico,zpe,Definitely endangered,4613,16.8333,-95.1166
Dungmali,Nepal,raa,Definitely endangered,4609,27.1874,87.1902
Saryg Yugur,China,ybe,Severely endangered,4600,39.2747,98.8439
Qikiqtaaluk uannangani,Canada,ike,Vulnerable,4550,69.3878,-81.615
Afitti,Sudan,aft,Severely endangered,4512,12.4419,30.7534
Nomatsiguenga,Peru,not,Severely endangered,4500,-11.3292,-74.3664
Piapoko,"Colombia, Venezuela (Bolivarian Republic of)",pio,Definitely endangered,4500,4.0396,-68.0712
Tokelauan,Tokelau,tkl,Severely endangered,4500,-9.1699,-171.8206
Wotu,Indonesia,wtw,Vulnerable,4500,-2.6303,120.888
Wambule,Nepal,wme,Vulnerable,4471,27.1746,86.4363
Southern East Cree,Canada,crj,Vulnerable,4455,50.587,-73.6365
Arbore,Ethiopia,arv,Definitely endangered,4441,5.069,36.892
Ebang,Sudan,hbn,Severely endangered,4412,11.313,30.5886
Tafi,Ghana,tcd,Vulnerable,4400,6.73,0.4421
Puma,Nepal,pum,Severely endangered,4310,26.9692,86.9004
Gyele,"Cameroon, Equatorial Guinea",gyi,Definitely endangered,4280,2.2241,9.8986
Bwisi,"Congo, Gabon",bwz,Definitely endangered,4248,-3.5572,11.4477
Eastern Montagnais,Canada,moe,Vulnerable,4180,50.2136,-66.193
Atikamekw,Canada,atj,Vulnerable,4155,47.2104,-74.3827
Western Zoque,Mexico,None,Vulnerable,4100,16.9063,-91.7333
Acoma-Laguna,United States of America,kjq,Definitely endangered,4000,34.8964,-107.5816
Aka,"India, Sudan",hru,Definitely endangered,4000,27.1666,92.6312
Baga Manduri,Guinea,bmb,Definitely endangered,4000,10.0986,-14.0405
Baga Sitemu,Guinea,bsp,Severely endangered,4000,10.1094,-14.1586
Botlikh,Russian Federation,bph,Definitely endangered,4000,42.6602,46.2222
Bunan,India,bfu,Definitely endangered,4000,32.7503,76.2451
Cashinahua (Peru),Peru,cbs,Definitely endangered,4000,-10.3581,-71.5869
Cha'palaa,Ecuador,cbi,Definitely endangered,4000,0.9386,-79.0055
Evenki (Manchuria),China,"evn, orh",Severely endangered,4000,50.34,123.43
Gazhuo,China,kaf,Definitely endangered,4000,24.0959,102.5463
Godoberi,Russian Federation,gdo,Definitely endangered,4000,42.643,46.1027
"Kari'ña (Guyana, Suriname)","Guyana, Suriname","car, ciy",Severely endangered,4000,6.8828,-60.2929
Lishan Didan (Israel),Israel,trg,Severely endangered,4000,32.0383,34.7827
Maleng,Lao People's Democratic Republic,None,Definitely endangered,4000,18.0166,105
Napu,Indonesia,npy,Vulnerable,4000,-1.2882,120.2536
Rahambuu,Indonesia,raz,Vulnerable,4000,-3.1898,121.0858
Shingsaba,"China, Nepal",lhm,Vulnerable,4000,27.7163,87.4731
Sinkiang Dagur,China,dta,Definitely endangered,4000,46.7737,83.0017
Taa,Botswana,nmn,Definitely endangered,4000,-24.1367,20.1049
Tennet,Sudan,tex,Vulnerable,4000,4.8611,33.2226
Wapishana (Brazil),Brazil,wap,Definitely endangered,4000,2.8113,-61.2377
Yagua,Peru,yad,Definitely endangered,4000,-3.3598,-72.3779
Yanomám,Brazil,wca,Vulnerable,4000,3.3818,-63.8085
Yanomami (Venezuela),Venezuela (Bolivarian Republic of),wck,Vulnerable,4000,2.5918,-64.7314
Younuo Bunu,China,buh,Definitely endangered,4000,25.1463,106.5405
Zenaga (Mauritania),Mauritania,zen,Severely endangered,4000,17.3086,-13.0078
Baghati,India,bfz,Critically endangered,3976,31.194,77.0471
Bharmauri,India,gbk,Definitely endangered,3976,32.4912,76.8383
Uspantek,Guatemala,usp,Vulnerable,3971,15.3475,-90.8684
Khang Quang Lam,Viet Nam,kjm,Severely endangered,3921,22.0333,102.6666
Konni,Ghana,kma,Vulnerable,3800,10.3311,-1.6973
Tocho,Sudan,taz,Severely endangered,3800,10.8764,30.1135
Mixtec of the Puebla-Oaxaca border,Mexico,None,Definitely endangered,3791,18.1333,-97.6833
Nupri,Nepal,kte,Definitely endangered,3776,28.6384,84.6079
Ayoreo,Bolivia (Plurinational State of),ayo,Definitely endangered,3700,-18.719,-59.6228
Moyon,India,nmo,Definitely endangered,3700,24.4171,94.378
Utsat,China,huq,Definitely endangered,3700,18.2727,109.3871
Nayi,Ethiopia,noz,Vulnerable,3656,7.2698,36.1724
Mussau-Emira,Papua New Guinea,emi,Definitely endangered,3651,-1.4774,149.6392
Narim,Sudan,loh,Definitely endangered,3623,4.9048,34.2224
Garífuna (Guatemala),Guatemala,cab,Vulnerable,3564,15.8268,-88.7506
Nachiring,Nepal,ncd,Severely endangered,3553,27.4144,86.7521
Eastern Popoloc,Mexico,poe,Vulnerable,3544,18.3322,-97.3471
Nding,Sudan,eli,Critically endangered,3513,10.4121,30.6024
Anung (Myanmar),Myanmar,nun,Severely endangered,3500,27.2,98.6333
Camsá,Colombia,kbh,Definitely endangered,3500,0.8788,-76.7724
Crow,United States of America,cro,Definitely endangered,3500,45.5963,-107.4613
Sak (Myanmar),Myanmar,ckh,Vulnerable,3500,21.2333,93.0761
Shwai,Sudan,shw,Critically endangered,3500,11.3184,30.4156
Wano,Indonesia,wno,Definitely endangered,3500,-3.5463,137.9058
Northwestern Ojibwe,Canada,ojb,Vulnerable,3465,52.0016,-95.4274
Bakpinka,Nigeria,bbs,Critically endangered,3416,5.3644,8.2397
Morokodo,Sudan,mgc,Severely endangered,3400,6.0313,29.7949
Eloxochitlán Mazatec,Mexico,maa,Vulnerable,3384,18.1754,-96.8765
Menik,Senegal,tnr,Definitely endangered,3375,12.7528,-12.2717
Teribe (Panama),Panama,tfr,Definitely endangered,3305,9.4472,-82.5166
Tima,Sudan,tms,Severely endangered,3305,11.7033,29.1934
Mursi,Ethiopia,muz,Vulnerable,3278,5.5831,36.5075
Pendau,Indonesia,ums,Vulnerable,3200,0.1922,120.0091
Ayautla Mazatec,Mexico,vmy,Vulnerable,3192,18.019,-96.7441
Yucatec,Belize,yua,Definitely endangered,3155,17.0922,-89.1221
Sayultec,Mexico,None,Definitely endangered,3150,17.8816,-94.9597
Eastern Tlapanec,Mexico,tcf,Vulnerable,3088,17.8135,-98.604
Juhur (Caucasus),"Azerbaijan, Russian Federation",jdt,Definitely endangered,3016,42.0044,48.2409
Awjila,Libyan Arab Jamahiriya,auj,Severely endangered,3000,26.6278,24.5214
Baleasang,Indonesia,bls,Definitely endangered,3000,-0.0494,119.685
Benga,"Gabon, Equatorial Guinea",bng,Definitely endangered,3000,0.9997,9.8657
Besoa,Indonesia,bep,Vulnerable,3000,-1.7163,120.4211
Boni,Kenya,bob,Definitely endangered,3000,-0.8294,40.8142
Bonjo,Congo,bok,Severely endangered,3000,1.7712,17.9598
Brokshat,India,bkk,Definitely endangered,3000,34.6478,76.4978
Budukh,Azerbaijan,bdk,Severely endangered,3000,41.1207,48.3233
Dahaalik,Eritrea,None,Critically endangered,3000,15.6917,40.0671
East Greenlandic,Greenland (Kingdom of Denmark),kal,Definitely endangered,3000,65.6061,-37.6858
Eastern Khanty,Russian Federation,kca,Definitely endangered,3000,61.2491,74.5092
Fyem,Nigeria,pym,Severely endangered,3000,9.6332,8.8632
Geta?,India,gaq,Severely endangered,3000,18.2293,82.727
Gura,Nigeria,gvm,Severely endangered,3000,10.075,6.8499
Harsusi,Oman,hss,Definitely endangered,3000,19.9372,56.2637
Hozo,Ethiopia,hoz,Definitely endangered,3000,9.3352,34.53
Jemez,United States of America,tow,Vulnerable,3000,35.6151,-106.7242
Kamara,Ghana,jmr,Definitely endangered,3000,9.0858,-2.2576
Kapingamarangi,Micronesia (Federated States of),kpg,Severely endangered,3000,1.0828,154.8081
Koitabu,Papua New Guinea,kqi,Vulnerable,3000,-9.346,147.1179
Kuk,Cameroon,kfm,Definitely endangered,3000,6.4326,10.2365
Lai,China,ply,Definitely endangered,3000,24.4871,105.216
Limirong Tibetan,Nepal,None,Definitely endangered,3000,29.9164,81.7617
Lishanid Noshan (Israel),Israel,aij,Severely endangered,3000,31.7188,34.7772
Lude,Russian Federation,lud,Severely endangered,3000,61.5867,33.6813
"Mbya Guarani (Argentina, Uruguay)","Argentina, Uruguay",gun,Severely endangered,3000,-29.6116,-57.4804
"Mohawk (Akwesasne, St. Regis)",United States of America,moh,Definitely endangered,3000,45.0033,-74.6497
Nanay,"China, Russian Federation",gld,Severely endangered,3000,49.3537,136.5243
Palu'e,Indonesia,None,Definitely endangered,3000,-8.3242,121.7106
Panare,Venezuela (Bolivarian Republic of),pbh,Vulnerable,3000,6.5445,-66.4233
Pilagá,Argentina,plg,Vulnerable,3000,-25.4035,-58.6669
Pitjantjatjara,Australia,pjt,Vulnerable,3000,-26.0719,129.9517
Pukur,Guinea,bcg,Definitely endangered,3000,10.4013,-14.4799
Rotuman,Fiji,rtm,Vulnerable,3000,-12.5063,177.0776
Savi,"Pakistan, Afghanistan",sdg,Definitely endangered,3000,35.2085,71.845
Sherdukpen,India,sdp,Vulnerable,3000,27.1935,92.351
Shira Yugur,China,yuy,Severely endangered,3000,39.1002,99.2065
Takahanyilang,India,nik,Critically endangered,3000,6.85,93.8726
U,China,uuu,Definitely endangered,3000,23.4844,99.8404
Ulithian,Micronesia (Federated States of),uli,Severely endangered,3000,10.0229,139.6801
Waima'a,Timor-Leste,wmh,Definitely endangered,3000,-8.4995,126.3372
Warlpiri,Australia,wbp,Vulnerable,3000,-20.8177,131.6601
Yukpa,Venezuela (Bolivarian Republic of),"yup, jru",Vulnerable,3000,9.7956,-72.9382
Western Montagnais,Canada,moe,Vulnerable,2980,48.9635,-68.5729
Waiwai (Brazil),Brazil,waw,Vulnerable,2916,-0.7909,-58.2714
Jersey French,United Kingdom of Great Britain and Northern Ireland,fra,Severely endangered,2874,49.2211,-2.1368
Bahing,Nepal,bhj,Definitely endangered,2765,27.3126,86.5571
Stoney,Canada,sto,Vulnerable,2765,51.161,-114.8533
Southwestern Tepehuan,Mexico,tla,Vulnerable,2756,22.8349,-105.7276
Northern Mansi,Russian Federation,mns,Severely endangered,2746,62.6539,63.1494
Bisu,"Myanmar, Thailand",bzi,Definitely endangered,2740,19.715,99.6789
Wari,Brazil,pav,Definitely endangered,2721,-11.7275,-65.0061
Pakan,China,bbh,Definitely endangered,2700,23.7447,105.2235
Yami,China,tao,Vulnerable,2700,22.0512,121.5403
Ko,Sudan,fuj,Critically endangered,2683,10.6714,30.8386
Yuracaré,Bolivia (Plurinational State of),yuz,Definitely endangered,2675,-16.6888,-65.4345
Aimol,India,aim,Critically endangered,2643,24.4971,93.6145
Kohi,Nepal,kkt,Vulnerable,2641,27.3607,86.8661
Chatino of the western lowlands,Mexico,ctp,Definitely endangered,2640,16.3049,-97.5466
Bolo,Angola,blv,Definitely endangered,2627,-10.5526,14.9633
Logol,Sudan,lof,Severely endangered,2600,10.8521,30.6463
Sila,"Lao People's Democratic Republic, Viet Nam",slt,Definitely endangered,2600,22.3094,102.041
Pisaflores Tepehua,Mexico,tpp,Vulnerable,2578,20.6883,-98.0125
Xerente,Brazil,xer,Severely endangered,2569,-9.3356,-48.2227
Bribri (Panama),Panama,bzd,Severely endangered,2521,9.4813,-82.6174
Achuar,"Ecuador, Peru",acu,Definitely endangered,2500,-2.8991,-77.4316
Bai,Sudan,bdj,Definitely endangered,2500,8.0592,25.5102
Banka,Mali,bxw,Definitely endangered,2500,11.4261,-5.6744
Culina (Peru),Peru,cul,Definitely endangered,2500,-9.6224,-70.7958
Gadang,Chad,gdk,Definitely endangered,2500,10.3473,17.2485
Khinalug,Azerbaijan,kjj,Severely endangered,2500,41.1579,48.0706
Laomian (China),China,lwm,Definitely endangered,2500,23.7645,100.0195
Laomian (Myanmar),Myanmar,lwm,Definitely endangered,2500,22.6833,99.25
Lhokpu,Bhutan,lhp,Definitely endangered,2500,26.9514,89.2968
Martuwangka,Australia,mpj,Vulnerable,2500,-24.1975,122.9589
Mayoruna (Peru),Peru,mcf,Vulnerable,2500,-5.5285,-73.4765
Pingelapese,Micronesia (Federated States of),pif,Severely endangered,2500,6.2279,160.7107
Rapanui,Chile,rap,Severely endangered,2500,-27.108,-109.3579
Remo,India,bfw,Severely endangered,2500,19.1659,82.6391
Roshorvi,Tajikistan,sgh,Severely endangered,2500,38.1086,72.1719
Sanglechi,"Tajikistan, Afghanistan",sgl,Severely endangered,2500,36.6585,71.4784
Semelai,Malaysia,sza,Severely endangered,2500,3.1761,102.4818
Urak Lawoi (Malaysia),Malaysia,urk,Definitely endangered,2500,6.4194,99.7869
Urak Lawoi (Thailand),Thailand,urk,Definitely endangered,2500,7.7756,98.3306
Zirenkel,Chad,zrn,Definitely endangered,2500,12.136,18.4735
Vumbu,Gabon,vum,Definitely endangered,2460,-1.8783,10.816
Mopán (Guatemala),Guatemala,mop,Severely endangered,2455,16.5144,-89.4167
Cuiba,"Colombia, Venezuela (Bolivarian Republic of)",cui,Severely endangered,2445,6.4463,-69.9389
Raji,Nepal,rji,Severely endangered,2413,27.9721,82.3135
Highland Chontal,Mexico,chd,Severely endangered,2410,16.2832,-95.857
Yasa,"Cameroon, Equatorial Guinea",yko,Definitely endangered,2401,2.3284,9.8464
Bumbita Arapesh,Papua New Guinea,aon,Vulnerable,2353,-3.6449,142.8002
Mang (China),China,zng,Definitely endangered,2300,22.8293,103.1039
Mang (Viet Nam),Viet Nam,zng,Definitely endangered,2300,22.35,102.9666
Tlachichilco Tepehua,Mexico,tpt,Definitely endangered,2234,20.6205,-98.1991
Blackfoot (Canada),Canada,bla,Definitely endangered,2200,49.3535,-113.2884
Jaya,Chad,jyy,Severely endangered,2200,12.187,18.1645
Karipuna do Amapá,Brazil,kmv,Vulnerable,2200,3.3379,-51.6796
Kulfa,Chad,kxj,Definitely endangered,2200,9.9742,19.1848
Krahô,Brazil,xra,Vulnerable,2184,-8.4071,-47.2851
Kristang,Malaysia,mcm,Severely endangered,2150,2.1935,102.256
Yine,Peru,pib,Definitely endangered,2150,-11.4584,-73.0261
North Alaskan Inupiaq (Kotzebue Sound),United States of America,esi,Severely endangered,2144,66.8972,-162.5855
North Alaskan Inupiaq (North Slope),United States of America,esi,Severely endangered,2144,71.2725,-156.7749
Seward Peninsula Inupiaq (King Island),United States of America,esk,Critically endangered,2144,64.9728,-168.0616
Seward Peninsula Inupiaq (Little Diomede Island),United States of America,esk,Critically endangered,2144,65.755,-168.9167
Seward Peninsula Inupiaq (Norton Sound),United States of America,esk,Critically endangered,2144,64.5433,-163.029
Katukína-Kanamarí,Brazil,"kav, knm",Vulnerable,2100,-5.6159,-68.7304
Tiwi,Australia,tiw,Vulnerable,2100,-11.6091,130.8911
Zaozou,China,zal,Vulnerable,2100,26.1554,99.2944
Ngäbere (Costa Rica),Costa Rica,gym,Definitely endangered,2041,8.4723,-82.9907
Aiton,India,aio,Severely endangered,2000,26.6523,94.2901
Anindilyakwa,Australia,aoi,Vulnerable,2000,-13.9987,136.582
Apurinã,Brazil,apu,Definitely endangered,2000,-5.4847,-63.8964
Arrernte,Australia,"aer, are",Vulnerable,2000,-24.1668,132.0996
Ashkun,Afghanistan,ask,Definitely endangered,2000,34.9973,71.0746
Ata,Philippines,atm,Critically endangered,2000,9.6081,122.9155
Athpahariya,Nepal,aph,Definitely endangered,2000,26.952,87.3399
Ava-Guaraní,Argentina,gui,Definitely endangered,2000,-23.1403,-64.3359
Bayso,Ethiopia,bsw,Definitely endangered,2000,6.4081,37.749
Birhor,India,biy,Critically endangered,2000,21.7594,85.935
Boano,Indonesia,bzl,Vulnerable,2000,0.4724,120.9979
Bori,"China, India",adi,Definitely endangered,2000,28.9889,94.4439
Chepya,Lao People's Democratic Republic,ycp,Definitely endangered,2000,21.3833,101.8166
Chilisso,Pakistan,clh,Severely endangered,2000,35.2136,73.2396
Culina (Brazil),Brazil,cul,Vulnerable,2000,-7.1008,-68.7744
Damana,Colombia,mbp,Definitely endangered,2000,10.9196,-73.4985
Duguza,Nigeria,dza,Definitely endangered,2000,9.9039,9.1186
Galibi Marworno,Brazil,car,Vulnerable,2000,3.4256,-52.0312
Gats'ama - Ganjule - Harro,Ethiopia,kcx,Definitely endangered,2000,5.9548,37.5292
Gebe,Indonesia,gei,Vulnerable,2000,-0.1922,129.5397
Ghadames,Libyan Arab Jamahiriya,gha,Vulnerable,2000,30.1166,9.5251
Griko (Calabria),Italy,ell,Severely endangered,2000,37.9961,15.9329
Huilliche,Chile,huh,Critically endangered,2000,-40.4803,-73.5424
Ik,Uganda,ikx,Severely endangered,2000,3.5024,34.1894
Jangshung,India,"jna, scu, ssk",Definitely endangered,2000,31.7748,78.4753
Jero,Nepal,jee,Vulnerable,2000,27.2241,86.3909
Kari'ña (French Guyana),French Guiana (France),"car, ciy",Definitely endangered,2000,5.5066,-53.6572
Khamnigan Mongol,"China, Mongolia, Russian Federation",None,Definitely endangered,2000,50.3454,114.1094
Kona,Nigeria,juo,Severely endangered,2000,9.0587,11.2829
Koreguaje,Colombia,coe,Definitely endangered,2000,1,-75
Koryak,Russian Federation,kpy,Severely endangered,2000,61.8561,168.6621
Kota,India,kfe,Critically endangered,2000,11.4154,76.8576
Logorik,Sudan,liu,Critically endangered,2000,11.1433,29.8306
Lule Saami,"Norway, Sweden",smj,Severely endangered,2000,67.272,17.7978
Luro,India,tef,Critically endangered,2000,7.915,93.3837
Mambai,Chad,mcs,Severely endangered,2000,9.6007,14.0899
Milang,India,adi,Definitely endangered,2000,28.488,95.2954
Mocoví,Argentina,moc,Definitely endangered,2000,-27.6056,-59.7656
Momuna,Indonesia,mqf,Vulnerable,2000,-5,139
Mpi,Thailand,mpz,Definitely endangered,2000,18.2554,100.2227
Muda,China,ymd,Vulnerable,2000,21.8421,100.6851
Munji,Afghanistan,mnj,Severely endangered,2000,36.0379,70.6723
Nguon,Viet Nam,nuo,Vulnerable,2000,17.5333,105.3833
Nheengatu / Yeral (Venezuela),Venezuela (Bolivarian Republic of),yrl,Severely endangered,2000,1.2303,-66.8408
Nihali,India,nll,Critically endangered,2000,20.5402,76.0913
Nyishangba,Nepal,nmm,Definitely endangered,2000,28.6423,84.1017
Ottawa (Walpole Island),"Canada, United States of America",otw,Severely endangered,2000,42.6068,-82.5195
Prasun,Afghanistan,prn,Definitely endangered,2000,35.3543,71.26
Rukai,China,dru,Vulnerable,2000,22.792,120.8104
Sáliba,"Colombia, Venezuela (Bolivarian Republic of)",slc,Severely endangered,2000,5.3097,-69.873
Sangkong,China,sgk,Vulnerable,2000,21.5158,100.6957
Sarwa,Chad,swy,Definitely endangered,2000,10.5958,17.0397
Shoshoni (Idaho),United States of America,shh,Severely endangered,2000,43.0438,-112.4629
Shoshoni (Nevada),United States of America,shh,Severely endangered,2000,40.0358,-113.9835
Shoshoni (Wyoming),United States of America,shh,Severely endangered,2000,43.014,-108.8209
Tai Phake,India,phk,Severely endangered,2000,27.5033,95.2185
Tamazight (Arzew),Algeria,rif,Critically endangered,2000,35.5869,-0.4737
Tanglang,China,ytl,Vulnerable,2000,26.0863,99.7119
Tchitchege,Gabon,tck,Definitely endangered,2000,-1.8508,13.612
Tinan,"China, India",lbf,Definitely endangered,2000,32.519,77.6733
Tsafiki,Ecuador,cof,Definitely endangered,2000,-0.25,-79.15
Ukhwejo,Central African Republic,ukh,Severely endangered,2000,3.3626,16.0565
Urarina,Peru,ura,Vulnerable,2000,-4.3464,-75.3002
Ushojo,Pakistan,ush,Definitely endangered,2000,35.0209,72.897
Waigali,Afghanistan,wbk,Definitely endangered,2000,35.1895,71.1941
Waotededo,Ecuador,auc,Vulnerable,2000,-1.1864,-76.6296
Wotapuri-Katarqalai,Afghanistan,wsv,Definitely endangered,2000,34.4166,70.3333
Wutun,China,wuh,Definitely endangered,2000,35.791,102.4365
Candoshi,Peru,cbu,Definitely endangered,1900,-3.7107,-76.9042
Hupda (Brazil),Brazil,jup,Vulnerable,1900,0.7909,-68.247
Mixtec of the central Ravine,Mexico,None,Definitely endangered,1878,17.9666,-96.8333
Kendeje,Chad,klf,Definitely endangered,1859,13.6299,21.5771
Hunzib,Russian Federation,huz,Definitely endangered,1839,42.1654,46.2991
Tchumbuli,Benin,bga,Critically endangered,1838,8.7113,2.1533
Cashibo-Cacataibo,Peru,cbr,Definitely endangered,1800,-8.9393,-75.0915
Grass Koiari,Papua New Guinea,kbk,Vulnerable,1800,-9.4558,147.5559
Isirawa,Indonesia,srl,Vulnerable,1800,-1.8783,138.5485
Lanoh,Malaysia,lnh,Critically endangered,1800,5.2509,101.0206
Lemolang,Indonesia,ley,Vulnerable,1800,-2.6303,120.1849
Nila (Seram Island),Indonesia,nil,Definitely endangered,1800,-3.2173,128.9849
Shixing,China,sxg,Definitely endangered,1800,28.5263,100.4734
Chuj (Mexico),Mexico,"cnm, cac",Critically endangered,1771,16.1203,-92.0407
Darma,"India, Nepal",drd,Definitely endangered,1761,30.0037,80.5641
Kung,Cameroon,kfl,Severely endangered,1750,6.5227,10.1074
Lokono (Guyana),"Guyana, Venezuela (Bolivarian Republic of)",arw,Critically endangered,1750,6.2934,-58.0957
Byangsi,"India, Nepal",bee,Definitely endangered,1734,30.0595,80.7824
Pasing,Lao People's Democratic Republic,bgk,Definitely endangered,1732,21.1254,101.4697
Yamphu,Nepal,"yma, ybi",Definitely endangered,1722,27.5935,87.3316
Andio,Indonesia,bzb,Vulnerable,1700,-0.8514,123.1457
Cheyenne (Montana),United States of America,chy,Definitely endangered,1700,45.5495,-106.5263
